country,country_code,country_iso,prefix,voice_rate_in_usd,voice_unit_in_seconds
Austria,43,AUT,43711,0.4031,60
Austria,43,AUT,43720,0.0146,60
Austria,43,AUT,43730,0.4031,60
Austria,43,AUT,43740,0.4031,60
Austria,43,AUT,43780,0.0146,60
Austria,43,AUT,43810,0.4031,60
Austria,43,AUT,43820,0.4031,60
Azerbaijan,994,AZE,994,0.283,60
Azerbaijan,994,AZE,99412,0.283,60
Azerbaijan,994,AZE,99440,0.4479,60
Azerbaijan,994,AZE,99444,0.4615,60
Azerbaijan,994,AZE,99450,0.4479,60
Azerbaijan,994,AZE,99451,0.4479,60
Azerbaijan,994,AZE,99455,0.4615,60
Azerbaijan,994,AZE,994551,0.4479,60
Azerbaijan,994,AZE,994552,0.4479,60
Azerbaijan,994,AZE,994553,0.4479,60
Azerbaijan,994,AZE,994554,0.4479,60
Azerbaijan,994,AZE,994555,0.4479,60
Azerbaijan,994,AZE,994556,0.4479,60
Azerbaijan,994,AZE,994557,0.4479,60
Azerbaijan,994,AZE,994558,0.4479,60
Azerbaijan,994,AZE,994559,0.4479,60
Azerbaijan,994,AZE,99460,0.4615,60
Azerbaijan,994,AZE,99470,0.4479,60
Azerbaijan,994,AZE,99477,0.4479,60
Burundi,257,BDI,257,0.895,60
Burundi,257,BDI,257161,0.623,60
Burundi,257,BDI,25771,0.691,60
Burundi,257,BDI,25772,0.691,60
Burundi,257,BDI,25774,0.691,60
Burundi,257,BDI,25775,0.691,60
Burundi,257,BDI,25776,0.691,60
Burundi,257,BDI,25777,0.691,60
Burundi,257,BDI,25778,0.6247,60
Burundi,257,BDI,25779,0.691,60
Belgium,32,BEL,32,0.09191,60
Belgium,32,BEL,321020,0.0418,60
Belgium,32,BEL,321024,0.1105,60
Belgium,32,BEL,321044,0.0418,60
Belgium,32,BEL,321075,0.0418,60
Belgium,32,BEL,321076,0.0418,60
Belgium,32,BEL,321089,0.0418,60
Belgium,32,BEL,32112,0.1105,60
Belgium,32,BEL,321141,0.0418,60
Belgium,32,BEL,321156,0.0418,60
Belgium,32,BEL,321159,0.09451,60
Bulgaria,359,BGR,35930519,0.0228,60
Bulgaria,359,BGR,35930529,0.00702,60
Bulgaria,359,BGR,3593069,0.0228,60
Bulgaria,359,BGR,35930718,0.00702,60
Bulgaria,359,BGR,35930719,0.0228,60
Bulgaria,359,BGR,35930728,0.00702,60
Bulgaria,359,BGR,35930729,0.0228,60
Bulgaria,359,BGR,3593089,0.0228,60
Bulgaria,359,BGR,3593099,0.0228,60
Bulgaria,359,BGR,35931009,0.0228,60
Bulgaria,359,BGR,359310090,0.00702,60
